seed,epsilon,delta,m,threshold,test_covered,test_size,test_coverage,test_avg_size
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,11,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,10,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,11,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,102,0.94,45.0375
2,0.05,-1,4,0.9,1,103,0.94,45.0375
2,0.05,-1,4,0.9,1,1000,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,12,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1000,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,0,31,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,21,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,400,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,12,0.94,45.0375
2,0.05,-1,4,0.9,1,11,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,12,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,40,0.94,45.0375
2,0.05,-1,4,0.9,0,30,0.94,45.0375
2,0.05,-1,4,0.9,1,11,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,111,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,100,0.94,45.0375
2,0.05,-1,4,0.9,1,1000,0.94,45.0375
2,0.05,-1,4,0.9,1,100,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,11,0.94,45.0375
2,0.05,-1,4,0.9,1,100,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,31,0.94,45.0375
2,0.05,-1,4,0.9,1,200,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,13,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,220,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,22,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,0,10,0.94,45.0375
2,0.05,-1,4,0.9,1,1000,0.94,45.0375
2,0.05,-1,4,0.9,1,10,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,0,4,0.94,45.0375
2,0.05,-1,4,0.9,1,31,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1000,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,40,0.94,45.0375
2,0.05,-1,4,0.9,1,40,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,12,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,400,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,13,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,21,0.94,45.0375
2,0.05,-1,4,0.9,1,1000,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,101,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,0,3,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,13,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,102,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,13,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,12,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,0,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,0,103,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,31,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,0,220,0.94,45.0375
2,0.05,-1,4,0.9,1,11,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,0,1,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,130,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,13,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,0,11,0.94,45.0375
2,0.05,-1,4,0.9,1,22,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,21,0.94,45.0375
2,0.05,-1,4,0.9,1,10,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,0,2,0.94,45.0375
2,0.05,-1,4,0.9,1,22,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,0,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,13,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,0,3,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,0,3,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,202,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,21,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,0,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,1000,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,0,13,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,31,0.94,45.0375
2,0.05,-1,4,0.9,1,121,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,20,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,10,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,11,0.94,45.0375
2,0.05,-1,4,0.9,1,103,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,0,103,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,0,13,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,100,0.94,45.0375
2,0.05,-1,4,0.9,1,12,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,1000,0.94,45.0375
2,0.05,-1,4,0.9,1,21,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,22,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1000,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,12,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,1000,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,12,0.94,45.0375
2,0.05,-1,4,0.9,0,2,0.94,45.0375
2,0.05,-1,4,0.9,1,13,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,13,0.94,45.0375
2,0.05,-1,4,0.9,1,21,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,102,0.94,45.0375
2,0.05,-1,4,0.9,1,4,0.94,45.0375
2,0.05,-1,4,0.9,1,2,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
2,0.05,-1,4,0.9,1,1,0.94,45.0375
2,0.05,-1,4,0.9,1,13,0.94,45.0375
2,0.05,-1,4,0.9,1,3,0.94,45.0375
