seed,epsilon,delta,m,threshold,test_covered,test_size,test_coverage,test_avg_size
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,0,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,4,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,0,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,21,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,4,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,0,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,0,1,0.9225,2.5025
2,0.05,-1,4,0.8,0,22,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,0,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,0,13,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,0,4,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,10,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,4,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,13,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,0,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,4,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,31,0.9225,2.5025
2,0.05,-1,4,0.8,1,4,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,0,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,13,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,4,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,0,13,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,0,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,4,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,0,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,0,4,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,0,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,4,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,4,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,4,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,4,0.9225,2.5025
2,0.05,-1,4,0.8,0,4,0.9225,2.5025
2,0.05,-1,4,0.8,0,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,4,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,4,0.9225,2.5025
2,0.05,-1,4,0.8,0,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,0,10,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,100,0.9225,2.5025
2,0.05,-1,4,0.8,1,4,0.9225,2.5025
2,0.05,-1,4,0.8,0,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,0,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,0,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,13,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,0,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,4,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,3,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,10,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,0,2,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,31,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,1,0.9225,2.5025
2,0.05,-1,4,0.8,1,2,0.9225,2.5025
